7,Scotch-Brite Bathroom Squeegee Plastic Wiper with telescopic handle (30 cm),B07WVZY442,440,550,  #834 in Home Improvement (See Top 100 in Home Improvement)  #18 in Squeegees   
8,Scotch-Brite Bathroom Squeegee Wiper- Pack of 2,B07MLQQCZQ,730,900,  #470 in Home Improvement (See Top 100 in Home Improvement)  #9 in Squeegees   
9,Scotch-Brite Butterfly Plastic Mop and Refill Combo (Green),B00NBM2YNA,"1,629","2,000","  #1,146 in Home Improvement (See Top 100 in Home Improvement)  #19 in Household Wet & Dry Mops   "
10,Scotch-Brite Plastic Floor Squeegee Wiper -with telescopic handle (Green/Silver),B00NBM3EH0,440,525,  #160 in Home Improvement (See Top 100 in Home Improvement)  #5 in Squeegees   
11,Scotch-Brite Jumper Spin Mop compact one Bucket Mop,B00T425C9E,"2,199","4,200","  #1,394 in Home Improvement (See Top 100 in Home Improvement)  #54 in Household Bucket Mops   "
12,Scotch-Brite Plastic Scotch Brite Telescopic Handle Cotton Mop with Looped Cotton Threads,B07WTWDHPN,525,600,"  #2,177 in Home Improvement (See Top 100 in Home Improvement)  #39 in Household Wet & Dry Mops   "
13,"Scotch-Brite Plastic Handle Cotton Mop Refill, 1 Piece",B00NBM2ONU,270,300,  #542 in Home Improvement (See Top 100 in Home Improvement)  #18 in Household Mop Accessories   
14,"Scotch-Brite Fibre Broom (Green) - Pack of 2, Plastic, Hard_Floor",B07R8KGMJX,695,750,"  #10,875 in Home Improvement (See Top 100 in Home Improvement)  #199 in Brooms (Home Improvement)   "
15,Scotch-Brite Plastic Spin Mop Head and Handle (Suitable for Scotch-Brite 2 in 1 Spin Mop Only),B0BNV1FHVB,645,675,  #39 in Home Improvement (See Top 100 in Home Improvement)  #5 in Household Bucket Mops   
16,"Scotch-Brite 2-in-1 Bucket Spin Mop Refill ( Microfiber, White )",B08BK7WKK5,269,299,  #283 in Home Improvement (See Top 100 in Home Improvement)  #20 in Household Bucket Mops   
17,"Scotch-Brite Combo | No-Dust Broom, Long Handle, Easy Floor Cleaning (Multi-use) | 1 Additional Refill Head, Plastic Fibre",B0BNTTSGQ7,500,590,  #483 in Home Improvement (See Top 100 in Home Improvement)  #15 in Brooms (Home Improvement)   
18,Scotch-Brite Telescopic Handle for scotch-brite mops & squeegees,B0BPBSK9X1,305,349,"  #1,711 in Home Improvement (See Top 100 in Home Improvement)  #30 in Squeegees   "
19,Scotch-Brite Microfiber Strip Mop with Telescopic Handle for Fine Dirt Removal,B07WVZX54X,"1,290","1,290","  #7,746 in Home Improvement (See Top 100 in Home Improvement)  #120 in Household Wet & Dry Mops   "
1,"Scotch-Brite 2-in-1 Bucket Spin Mop (Green, 2 Refills), 4 Pcs",B07LDKFM2Y,"1,089","1,800",  #9 in Home Improvement (See Top 100 in Home Improvement)  #2 in Household Bucket Mops   
2,Scotch-Brite Supreme Spin Mop (2N Microfiber Refills),B089Z7K5F3,"1,699","2,399","  #1,500 in Home Improvement (See Top 100 in Home Improvement)  #59 in Household Bucket Mops   "
3,"Scotch-Brite No-Dust Broom, Long handle, Easy floor cleaning (Multi-use)",B07LC7LF9Y,289,375,  #20 in Home Improvement (See Top 100 in Home Improvement)  #1 in Brooms (Home Improvement)   
4,"Scotch-Brite Multi-purpose Microfiber Flat Mop with 1 extra refill for Dry & Wet Cleaning, 360 degree Rotating head and Telescopic handle, suitable for Floor, Glass, Ceiling and Walls (Green)",B00NQ03WR4,"1,399","1,848",  #291 in Home Improvement (See Top 100 in Home Improvement)  #5 in Household Wet & Dry Mops   
5,Scotch-Brite Jumper Spin Mop with Round Refill Heads,B00T425GKY,"1,899","3,850","  #1,956 in Home Improvement (See Top 100 in Home Improvement)  #75 in Household Bucket Mops   "
6,Scotch-Brite Bathroom Squeegee Plastic Wiper(30 cm)(Green),B00NBM3IE4,375,450,  #12 in Home Improvement (See Top 100 in Home Improvement)  #1 in Squeegees   
7,"Scotch-Brite Plastic No Dust Broom Hard_Floor Refill Head without Handle (This Product Does Not Contain A Handle, Only Refill Suitable to Be Used with Broom), Ash",B0C82497NH,215,250,  #340 in Home Improvement (See Top 100 in Home Improvement)  #13 in Brooms (Home Improvement)   
8,Scotch-Brite Bathroom Squeegee Plastic Wiper with telescopic handle (30 cm),B07WVZY442,440,550,  #808 in Home Improvement (See Top 100 in Home Improvement)  #18 in Squeegees   
9,Scotch-Brite Bathroom Squeegee Wiper- Pack of 2,B07MLQQCZQ,730,900,  #261 in Home Improvement (See Top 100 in Home Improvement)  #6 in Squeegees   
10,Scotch-Brite Butterfly Plastic Mop and Refill Combo (Green),B00NBM2YNA,"1,629","2,000","  #1,187 in Home Improvement (See Top 100 in Home Improvement)  #19 in Household Wet & Dry Mops   "
